date,dalian_pm25,dalian_pm10,dalian_o3,dalian_no2,dalian_so2,dalian_co
2020-11-01,85,43,20,17,6,6
2020-11-02,49,31,24,13,6,4
2020-11-03,38,35,31,14,7,6
2020-11-04,59,66,37,14,7,8
2020-11-05,126,73,40,15,7,8
2020-11-06,133,74,26,20,8,8
2020-11-07,90,49,24,12,6,4
2020-11-08,37,37,23,22,9,7
2020-11-09,53,53,25,23,10,9
2020-11-10,96,48,39,15,8,6
2020-11-11,95, , , , , 
2020-10-01,86,32,32,12,4,5
2020-10-02,70,17,36,12,5,3
2020-10-03,38,20,28,9,4,2
2020-10-04,29,26,26,10,4,2
2020-10-05,28,23,41,13,6,4
2020-10-06,46,48,75,12,7,4
2020-10-07,94,55,72,15,7,4
2020-10-08,118,33,52,13,6,3
2020-10-09,76,19,43,13,5,2
2020-10-10,42,41,54,16,7,3
2020-10-11,79,19,31,13,6,3
2020-10-12,29,28,42,14,6,3
2020-10-13,45,26,25,13,4,4
2020-10-14,35,42,43,15,5,4
2020-10-15,83,33,37,16,4,5
2020-10-16,77,25,52,11,6,2
2020-10-17,41,52,46,21,7,7
2020-10-18,89,82,84,16,7,6
2020-10-19,159,69,95,11,7,4
2020-10-20,147,72,66,10,6,4
2020-10-21,116,39,24,10,5,1
2020-10-22,38,25,27,10,5,1
2020-10-23,23,36,29,18,6,4
2020-10-24,57,66,42,19,8,5
2020-10-25,129,86,94,18,7,8
2020-10-26,168,48,50,16,6,5
2020-10-27,89,39,30,23,8,5
2020-10-28,54,37,27,23,7,6
2020-10-29,61,65,33,25,9,12
2020-10-30,126,64,36,11,6,8
2020-10-31,140,68,26,17,6,7
2020-09-01,60,35,64,9,5,7
2020-09-02,80,21,31,10,5,3
2020-09-03,37,28,85,8,5,4
2020-09-04,53,29,71,6,5,3
2020-09-05,58,42,57,5,5,5
2020-09-06,93,45,52,10,5,5
2020-09-07,93,24,34,9,4,3
2020-09-08,51,21,40,11,4,4
2020-09-09,48,23,37,12,4,4
2020-09-10,48,25,53,13,4,6
2020-09-11,66,18,38,6,4,4
2020-09-12,44,35,36,14,5,6
2020-09-13,79,28,47,13,5,5
2020-09-14,64,33,50,8,4,4
2020-09-15,69,20,40,8,3,4
2020-09-16,38,19,36,10,4,4
2020-09-17,27,23,50,13,4,5
2020-09-18,35,26,54,14,5,5
2020-09-19,47,30,37,16,5,4
2020-09-20,62,34,54,14,5,4
2020-09-21,70,24,47,14,3,2
2020-09-22,60,30,48,11,3,4
2020-09-23,69,22,37,12,3,6
2020-09-24,49,38,36,18,4,4
2020-09-25,67,47,65,17,6,4
2020-09-26,92,45,73,12,5,3
2020-09-27,95,20,48,7,4,1
2020-09-28,50,31,27,11,5,3
2020-09-29,62,36,93,12,6,3
2020-09-30,77,43,45,13,6,4
2020-08-01,46,18,48,5,3,4
2020-08-02,53,36,57,5,4,5
2020-08-03,89,20,46,5,3,2
2020-08-04,47,26,17,5,3,2
2020-08-05,59,29,39,8,3,4
2020-08-06,58,31,45,6,4,3
2020-08-07,62,22,41,5,4,3
2020-08-08,56,20,52,7,4,3
2020-08-09,56,25,42,5,4,3
2020-08-10,68,30,62,5,5,4
2020-08-11,78,17,38,4,4,4
2020-08-12,54,16,38,5,4,3
2020-08-13,36,33,61,5,5,6
2020-08-14,91,20,102,6,5,4
2020-08-15,56,15,37,6,5,4
2020-08-16,36,23,54,5,5,4
2020-08-17,68,39,54,5,4,3
2020-08-18,92,28,44,8,4,5
2020-08-19,58,31,24,13,5,6
2020-08-20,62,36,65,13,6,5
2020-08-21,63,48,80,14,5,6
2020-08-22,94,36,65,9,5,4
2020-08-23,82,23,34,7,4,3
2020-08-24,58,22,72,9,4,4
2020-08-25,60,16,31,12,3,5
2020-08-26,43,14,30,8,4,4
2020-08-27,41,20,41,10,4,2
2020-08-28,44,39,67,13,5,4
2020-08-29,81,39,60,10,5,6
2020-08-30,90,19,34,9,4,3
2020-08-31,58,27,52,11,5,7
2020-07-01,84,46,73,10,6,6
2020-07-02,111,19,47,8,5,4
2020-07-03,56,25,66,9,4,3
2020-07-04,74,20,42,6,3,2
2020-07-05,55,21,38,7,3,4
2020-07-06,65,27,69,11,3,5
2020-07-07,79,40,99,9,4,4
2020-07-08,90,33,78,7,4,4
2020-07-09,91,31,76,8,4,5
2020-07-10,78,43,68,10,4,5
2020-07-11,91,21,41,5,4,4
2020-07-12,55,25,39,5,4,4
2020-07-13,61,30,78,5,4,4
2020-07-14,67,48,90,4,5,8
2020-07-15,125,40,78,7,5,6
2020-07-16,101,36,48,5,4,5
2020-07-17,95,15,37,4,4,3
2020-07-18,36,8,37,5,4,4
2020-07-19,18,28,67,10,5,5
2020-07-20,74,43,85,9,4,7
2020-07-21,105,33,64,8,4,4
2020-07-22,87,24,45,7,4,4
2020-07-23,63,40,73,10,5,6
2020-07-24,81,28,77,11,6,4
2020-07-25,57,16,53,6,5,3
2020-07-26,37,12,44,4,4, 
2020-07-27,35,12,29,3,4,2
2020-07-28,31,17,44,4,3,3
2020-07-29,56,20,53,6,4,3
2020-07-30,62,18,28,8,4,3
2020-07-31,51,16,49,5,4,3
2020-06-01,63,31,52,4,2,3
2020-06-02,52,43,94,9,3,5
2020-06-03,87,55,62,10,5,5
2020-06-04,96,37,55,17,4,6
2020-06-05,55,53,79,18,4,5
2020-06-06,91,32,51,8,3,3
2020-06-07,74,28,54,6,3,6
2020-06-08,62,37,46,8,3,4
2020-06-09,78,31,43,8,2,5
2020-06-10,70,34,44,14,1,6
2020-06-11,80,35,41,10,2,5
2020-06-12,77,14,44,11,2,3
2020-06-13,39,21,60,11,3,2
2020-06-14,36,40,99,13,6,4
2020-06-15,62,34,59,14,4,3
2020-06-16,56,62,86,16,6,7
2020-06-17,99,55,69,13,5,6
2020-06-18,118,49,106,13,5,7
2020-06-19,100,67,120,8,5,9
2020-06-20,155,32,62,6,3,5
2020-06-21,85,25,62,6,3,3
2020-06-22,63,23,44,8,2,4
2020-06-23,65,9,48,7,1,3
2020-06-24,26,27,57,10,4,4
2020-06-25,64,35,69,8,3,6
2020-06-26,93,36,69,11,4,7
2020-06-27,95,36,66,15,5,5
2020-06-28,82,33,44,8,5,4
2020-06-29,87,42,50,14,8,4
2020-06-30,89,37,77,10,7,7
2020-05-01,87,43,63,8,3,3
2020-05-02,108,30,35,7,3,3
2020-05-03,74,38,31,9,3,1
2020-05-04,63,57,58,19,7,6
2020-05-05,108,52,83,17,6,5
2020-05-06,108,33,46,12,3,2
2020-05-07,68,25,52,6,1,2
2020-05-08,67,25,47,9,2,3
2020-05-09,61,47,56,9,5,5
2020-05-10,101,30,51,10,3,2
2020-05-11,39,40,42,7,4,2
2020-05-12,49,71,63,9,5,2
2020-05-13,69,65,53,7,3,2
2020-05-14,72,25,46,4,2,3
2020-05-15,44,21,47,6,3,2
2020-05-16,53,48,55,7,3,5
2020-05-17,96,27,43,7,3,2
2020-05-18,48,22,36,8,3,2
2020-05-19,46,41,44,11,4,2
2020-05-20,86,31,41,8,3,1
2020-05-21,59,39,47,5,3,1
2020-05-22,55,32,39,8,3,2
2020-05-23,74,22,49,7,4,3
2020-05-24,52,50,73,17,6,5
2020-05-25,99,30,58,8,4,4
2020-05-26,58,41,49,8,4,5
2020-05-27,92,41,54,8,3,5
2020-05-28,89,26,52,8,2,2
2020-05-29,53,32,66,8,3,4
2020-05-30,78,34,43,10,6,4
2020-05-31,77,33,84,12,4,3
2020-04-01,34,51,45,15,7,7
2020-04-02,101,74,48,16,9,8
2020-04-03,161,59,37,8,5,3
2020-04-04,48,45,38,10,5,4
2020-04-05,48,73,70,20,11,7
2020-04-06,116,70,39,17,8,7
2020-04-07,106,41,39,14,5,4
2020-04-08,58,53,42,13,6,5
2020-04-09,91,59,46,16,6,5
2020-04-10,134,47,51,17,6,6
2020-04-11,104,64,52,11,6,6
2020-04-12,118,61,64,20,7,8
2020-04-13,124,71,88,21,11,8
2020-04-14,154,72,58,10,4,8
2020-04-15,160,57,62,8,3,5
2020-04-16,128,55,44,12,3,7
2020-04-17,133,69,75,15,5,7
2020-04-18,164,76,51,20,4,6
2020-04-19,164,21,37,8,3,3
2020-04-20,55,27,35,4,3,1
2020-04-21,28,64,33,5,4,2
2020-04-22,57,38,38,8,4,4
2020-04-23,47,56,47,8,3,4
2020-04-24,73,57,43,8,4,3
2020-04-25,74,38,47,12,5,4
2020-04-26,74,44,54,18,5,6
2020-04-27,98,68,89,14,6,6
2020-04-28,147,59,94,13,5,6
2020-04-29,122,35,51,7,3,5
2020-04-30,77,35,54,7,3,5
2020-03-01,141,31,36,11,8,4
2020-03-02,72,42,33,10,8,5
2020-03-03,116,32,32,7,7,3
2020-03-04,75,29,38,10,10,4
2020-03-05,80,44,39,8,6,5
2020-03-06,106,31,33,11,6,3
2020-03-07,78,30,34,10,5,4
2020-03-08,88,51,29,15,7,6
2020-03-09,128,39,32,10,9,4
2020-03-10,71,50,31,12,10,3
2020-03-11,59,69,38,11,6,5
2020-03-12,123,33,32,8,7,3
2020-03-13,34,50,33,14,8,5
2020-03-14,84,56,33,11,7,3
2020-03-15,60,50,33,12,8,4
2020-03-16,63,63,40,25,11,7
2020-03-17,131,73,73,15,8,6
2020-03-18,152,31,32,8,4,2
2020-03-19,25,58,36,16,8,5
2020-03-20,83,59,45,14,10,5
2020-03-21,104,51,46,19,10,8
2020-03-22,102,44,37,21,8,5
2020-03-23,90,59,48,19,10,6
2020-03-24,133,44,42,10,5,4
2020-03-25,93,35,73,13,4,5
2020-03-26,82,36,30,8,5,4
2020-03-27,42,38,31,14,7,4
2020-03-28,44,28,63,11,7,3
2020-03-29,43,65,43,14,7,6
2020-03-30,130,75,46,19,10,7
2020-03-31,155,29,35,10,5,3
2020-02-01,120,60,27,21,14,7
2020-02-02,143,40,35,9,9,4
2020-02-03,105,37,27,9,9,4
2020-02-04,78,33,24,7,8,4
2020-02-05,65,22,31,10,11,4
2020-02-06,62,64,25,12,9,9
2020-02-07,153,73,37,14,13,11
2020-02-08,154,87,37,14,11,9
2020-02-09,178,116,49,18,10,15
2020-02-10,213,69,48,9,6,8
2020-02-11,164,36,38,9,7,4
2020-02-12,93,36,34,7,4,5
2020-02-13,98,47,37,10,3,6
2020-02-14,127,63,30,5,5,2
2020-02-15,59,79,29,3,4,2
2020-02-16,41,30,28,8,7,3
2020-02-17,53,41,28,15,10,6
2020-02-18,107,56,32,10,5,7
2020-02-19,141,50,34,11,8,6
2020-02-20,120,57,29,11,5,7
2020-02-21,129,48,34,11,7,5
2020-02-22,78,33,38,9,6,3
2020-02-23,67,61,36,10,6,5
2020-02-24,133,57,26,13,7,7
2020-02-25,119,36,50,8,6,4
2020-02-26,86,21,35,11,7,3
2020-02-27,58,28,29,7,4,4
2020-02-28,86,50,29,15,8,6
2020-02-29,140,63,34,14,9,7
2020-01-01,104,84,14,31,19,21
2020-01-02,169,76,16,33,17,18
2020-01-03,160,81,16,37,16,21
2020-01-04,168,49,28,26,16,9
2020-01-05,112,42,29,15,9,9
2020-01-06,115,66,26,14,8,9
2020-01-07,140,45,30,9,7,5
2020-01-08,80,42,20,26,14,8
