date,qingdao_pm25,qingdao_pm10,qingdao_o3,qingdao_no2,qingdao_so2,qingdao_co
2020-11-01,165,77,33,22,4, 
2020-11-02,70,53,27,19,4, 
2020-11-03,51,55,38,23,6, 
2020-11-04,71,62,48,23,4, 
2020-11-05,83,82,40,32,5, 
2020-11-06,119,127,39,41,9, 
2020-11-07,156,86,29,25,4, 
2020-11-08,83,66,26,35,6, 
2020-11-09,73,57,40,29,5, 
2020-11-10,84,28,47,21,3, 
2020-11-11,42, , , , , 
2020-10-01,67,59,48,13,4, 
2020-10-02,93,53,33,23,7, 
2020-10-03,68,74,32,16,5, 
2020-10-04,69,46,33,19,6, 
2020-10-05,56,36,44,25,6, 
2020-10-06,70,61,47,35,5, 
2020-10-07,87,45,60,19,3, 
2020-10-08,61,44,46,22,3, 
2020-10-09,53,46,52,21,2, 
2020-10-10,60,47,54,20,3, 
2020-10-11,67,63,39,21,3, 
2020-10-12,94,42,41,21,4, 
2020-10-13,49,50,32,25,3, 
2020-10-14,77,44,43,19,3, 
2020-10-15,52,57,36,29,5, 
2020-10-16,106,64,50,28,6, 
2020-10-17,106,64,69,36,6, 
2020-10-18,104,82,91,41,7, 
2020-10-19,141,63,82,19,3, 
2020-10-20,109,92,66,21,4, 
2020-10-21,114,81,35,22,5, 
2020-10-22,72,55,34,23,6, 
2020-10-23,67,43,40,26,4, 
2020-10-24,63,66,73,25,8, 
2020-10-25,103,91,90,33,7, 
2020-10-26,146,120,66,46,6, 
2020-10-27,170,64,35,24,4, 
2020-10-28,71,70,30,34,5, 
2020-10-29,90,70,41,36,4, 
2020-10-30,95,59,41,30,4, 
2020-10-31,81,137,36,35,8, 
2020-09-01,73,61,82,19,5, 
2020-09-02,90,52,53,18,6, 
2020-09-03,77,48,94,17,4, 
2020-09-04,62,52,140,10,3, 
2020-09-05,98,69,127,20,5, 
2020-09-06,111,82,92,14,3, 
2020-09-07,144,66,79,21,3, 
2020-09-08,119,53,60,26,4, 
2020-09-09,86,59,52,29,4, 
2020-09-10,103,47,64,18,3, 
2020-09-11,86,32,46,18,2, 
2020-09-12,56,31,45,18,3, 
2020-09-13,51,32,44,18,3, 
2020-09-14,47,16,42,8,2, 
2020-09-15,28,60,88,16,3, 
2020-09-16,105,55,58,26,5, 
2020-09-17,64,48,79,22,4, 
2020-09-18,48,50,89,20,6, 
2020-09-19,75,77,124,15,6, 
2020-09-20,129,54,59,16,3, 
2020-09-21,97,32,56,14,3, 
2020-09-22,48,33,55,10,2, 
2020-09-23,50,48,54,23,3, 
2020-09-24,55,57,55,26,3, 
2020-09-25,85,44,42,18,3, 
2020-09-26,54,37,44,15,3, 
2020-09-27,43,25,47,13,2, 
2020-09-28,29,50,56,23,3, 
2020-09-29,63,55,49,15,4, 
2020-09-30,70,47,78,10,4, 
2020-08-01,74,37,54,10,2, 
2020-08-02,59,42,67,13,2, 
2020-08-03,63,16,35,8,1, 
2020-08-04,14,30,26,8,2, 
2020-08-05,28,29,33,12,2, 
2020-08-06,37,10,39,6,2, 
2020-08-07,13,26,41,11,2, 
2020-08-08,45,37,43,12,2, 
2020-08-09,60,34,59,14,2, 
2020-08-10,52,37,59,12,2, 
2020-08-11,64,26,81,7,1, 
2020-08-12,59,41,61,11,2, 
2020-08-13,63,20,34,13,2, 
2020-08-14,22,49,111,10,3, 
2020-08-15,94,57,100,11,2, 
2020-08-16,98,47,68,7,1, 
2020-08-17,68,55,69,7,1, 
2020-08-18,95,55,67,15,2, 
2020-08-19,89,56,38,16,3, 
2020-08-20,103,29,23,17,2, 
2020-08-21,57,36,68,15,2, 
2020-08-22,48,23,31,8,2, 
2020-08-23,40,36,59,7,2, 
2020-08-24,61,44,48,13,3, 
2020-08-25,76,23,34,16,2, 
2020-08-26,41,44,31,13,3, 
2020-08-27,78,46,78,19,4, 
2020-08-28,74,44,62,14,3, 
2020-08-29,75,22,32,9,2, 
2020-08-30,37,38,77,8,2, 
2020-08-31,67,48,66,15,4, 
2020-07-01,108,28,48,11,3, 
2020-07-02,50,19,43,13,1, 
2020-07-03,34,34,50,19,2, 
2020-07-04,59,18,42,7,2, 
2020-07-05,34,45,43,12,2, 
2020-07-06,74,58,63,17,2, 
2020-07-07,112,39,52,10,2, 
2020-07-08,80,28,47,10,2, 
2020-07-09,75,46,71,16,3, 
2020-07-10,82,43,43,10,2, 
2020-07-11,77,15,52,7,2, 
2020-07-12,27,27,44,12,2, 
2020-07-13,40,52,79,17,3, 
2020-07-14,73,74,112,21,5, 
2020-07-15,128,62,76,10,2, 
2020-07-16,111,28,42,6,1, 
2020-07-17,67,11,41,5,1, 
2020-07-18,19,10,36,9,1, 
2020-07-19,21,41,85,13,2, 
2020-07-20,54,33,54,11,1, 
2020-07-21,47,16,43,9,1, 
2020-07-22,44,12,39,7,2, 
2020-07-23,26,41,99,15,3, 
