date,tianjin_pm25,tianjin_pm10,tianjin_o3,tianjin_no2,tianjin_so2,tianjin_co
2020-11-01,86,68, ,11,2,4
2020-11-02,57,42, ,11,2,5
2020-11-03,47,112, ,27,8,12
2020-11-04,164,114, ,30,6,13
2020-11-05,173,103, ,25,5,9
2020-11-06,155,116, ,12,3,6
2020-11-07,92,40, ,11,3,5
2020-11-08,51,66, ,22,3,8
2020-11-09,97,107, ,37,7,12
2020-11-10,170,125, ,37,7,14
2020-11-11,174, , , , , 
2020-10-01,115,28, ,10,2,2
2020-10-02,51,53, ,16,3,4
2020-10-03,78,33, ,6,2,3
2020-10-04,30,28, ,12,2,3
2020-10-05,34,69, ,23,5,7
2020-10-06,127,70, ,23,4,7
2020-10-07,135,88, ,35,5,11
2020-10-08,169,87, ,30,5,9
2020-10-09,183,94, ,29,4,9
2020-10-10,179,63, ,16,3,8
2020-10-11,127,30, ,14,2,3
2020-10-12,46,55, ,24,3,5
2020-10-13,75,51, ,17,3,7
2020-10-14,52,86, ,18,3,11
2020-10-15,172,56, ,17,2,8
2020-10-16,107,72, ,25,4,5
2020-10-17,106,90, ,35,5,9
2020-10-18,162,103, ,39,4,11
2020-10-19,184,83, ,27,4,7
2020-10-20,171,109, ,10,3,3
2020-10-21,82,69, ,12,2,3
2020-10-22,67,34, ,13,2,2
2020-10-23,44,80, ,23,5,5
2020-10-24,131,105, ,28,6,8
2020-10-25,169,134, ,30,5,10
2020-10-26,195,47, ,12,2,2
2020-10-27,48,67, ,18,3,4
2020-10-28,66,97, ,27,5,8
2020-10-29,160,88, ,27,4,9
2020-10-30,156,229, ,25,4,8
2020-10-31,173,104, ,17,3,5
2020-09-01,61,37, ,10,2,2
2020-09-02,50,28, ,9,2,2
2020-09-03,25,56, ,17,3,4
2020-09-04,57,66, ,21,4,8
2020-09-05,94,77, ,21,4,10
2020-09-06,153,69, ,14,3,9
2020-09-07,135,39, ,12,2,3
2020-09-08,47,38, ,13,2,2
2020-09-09,34,41, ,14,6,5
2020-09-10,48,25, ,8,2,4
2020-09-11,31,39, ,11,3,6
2020-09-12,59,52, ,15,3,7
2020-09-13,104,54, ,16,3,7
2020-09-14,123,40, ,12,2,8
2020-09-15,102,32, ,9,2,3
2020-09-16,42,30, ,9,2,2
2020-09-17,29,45, ,16,2,3
2020-09-18,50,68, ,22,4,5
2020-09-19,89,53, ,19,4,7
2020-09-20,85,55, ,20,3,7
2020-09-21,59,64, ,20,4,11
2020-09-22,111,35, ,14,3,7
2020-09-23,80,51, ,16,2,8
2020-09-24,132,62, ,18,3,8
2020-09-25,124,65, ,23,3,10
2020-09-26,158,59, ,22,4,6
2020-09-27,130,73, ,21,3,7
2020-09-28,147,41, ,13,2,5
2020-09-29,74,45, ,15,3,6
2020-09-30,75,35, ,14,3,6
2020-08-01,71,44, ,8,4,4
2020-08-02,70,63, ,17,3,4
2020-08-03,89,90, ,20,3,7
2020-08-04,134,57, ,15,2,8
2020-08-05,128,48, ,12,2,6
2020-08-06,92,28, ,11,2,5
2020-08-07,55,40, ,14,2,6
2020-08-08,64,50, ,13,2,5
2020-08-09,64,36, ,7,2,3
2020-08-10,53,67, ,13,2,6
2020-08-11,133,51, ,16,2,7
2020-08-12,84,28, ,6,2,6
2020-08-13,51,55, ,9,2,7
2020-08-14,101,47, ,12,2,7
2020-08-15,95,46, ,11,2,8
2020-08-16,115,63, ,12,2,13
2020-08-17,150,41, ,9,2,9
2020-08-18,91,17, ,7,2,4
2020-08-19,33,26, ,9,2,5
2020-08-20,35,50, ,15,4,8
2020-08-21,62,56, ,13,4,6
2020-08-22,85,66, ,16,3,8
2020-08-23,129,32, ,7,2,4
2020-08-24,61,69, ,24,3,7
2020-08-25,115,72, ,20,3,11
2020-08-26,162,59, ,17,3,10
2020-08-27,120,47, ,18,3,5
2020-08-28,59,66, ,22,3,11
2020-08-29,109,52, ,17,2,9
2020-08-30,105,43, ,10,2,5
2020-08-31,88,48, ,11,2,2
2020-07-01,91,45, ,11,4,10
2020-07-02,81,40, ,13,2,6
2020-07-03,88,54, ,15,3,6
2020-07-04,95,51, ,9,2,6
2020-07-05,101,44, ,13,2,8
2020-07-06,95,53, ,13,3,8
2020-07-07,95,51, ,17,3,8
2020-07-08,100,47, ,15,2,5
2020-07-09,65,55, ,15,2,8
2020-07-10,122,71, ,18,2,10
2020-07-11,168,60, ,16,2,6
2020-07-12,145,54, ,14,2,7
2020-07-13,117,49, ,10,2,5
2020-07-14,85,57, ,7,2,5
2020-07-15,112,61, ,13,2,4
2020-07-16,100,64, ,11,2,5
2020-07-17,119,47, ,10,2,7
2020-07-18,130,40, ,10,2,5
2020-07-19,79,64, ,14,3,4
2020-07-20,104,59, ,9,3,6
2020-07-21,100,66, ,25,4,8
2020-07-22,122,58, ,13,5,8
2020-07-23,120,57, ,10,3,5
2020-07-24,93,69, ,18,3,5
2020-07-25,88,44, ,10,2,5
2020-07-26,66,49, ,16,2,10
2020-07-27,122,52, ,14,2,8
2020-07-28,125,58, ,12,2,7
2020-07-29,124,74, ,13,3,6
2020-07-30,146,57, ,23,3,7
2020-07-31,122,46, ,12,3,6
2020-06-01,75,62, ,10,2,3
2020-06-02,90,153, ,17,2,4
2020-06-03,148,77, ,19,3,6
2020-06-04,85,42, ,12,5,8
2020-06-05,53,43, ,19,5,9
2020-06-06,76,76, ,20,3,10
2020-06-07,130,79, ,12,4,7
2020-06-08,108,85, ,33,3,15
2020-06-09,130,51, ,13,2,5
2020-06-10,72,83, ,18,2,12
2020-06-11,145,57, ,18,2,8
2020-06-12,105,71, ,15,3,8
2020-06-13,127,30, ,6,2,3
2020-06-14,36,62, ,13,4,4
2020-06-15,67,90, ,17,4,8
2020-06-16,111,46, ,6,6,6
2020-06-17,41,48, ,8,2,7
2020-06-18,80,48, ,10,2,6
2020-06-19,79,55, ,9,3,8
2020-06-20,80,57, ,9,2,8
2020-06-21,105,59, ,13,4,8
2020-06-22,94,51, ,16,3,7
2020-06-23,112,47, ,13,3,8
2020-06-24,88,33, ,11,2,6
2020-06-25,59,44, ,16,3,8
2020-06-26,103,63, ,12,2,11
2020-06-27,158,43, ,19,4,8
2020-06-28,112,48, ,19,4,7
2020-06-29,95,31, ,10,2,4
2020-06-30,68,54, ,13,2,6
2020-05-01,102,57, ,9,3,7
2020-05-02,102,45, ,13,3,7
2020-05-03,81,50, ,11,2,5
2020-05-04,53,41, ,16,1,5
2020-05-05,87,54, ,20,4,9
2020-05-06,111,53, ,20,4,13
2020-05-07,118,17, ,8,2,12
2020-05-08,66,33, ,10,1,10
2020-05-09,73,58, ,8,1,8
2020-05-10,70,51, ,7,1,6
2020-05-11,51,75, ,7,1,3
2020-05-12,64,105, ,15,5,8
2020-05-13,98,62, ,9,3,7
2020-05-14,75,40, ,10,3,8
2020-05-15,76,47, ,14,2,8
2020-05-16,90,67, ,13,2,7
2020-05-17,81,55, ,8,1,4
2020-05-18,75,49, ,14,2,5
2020-05-19,67,67, ,19,5,9
2020-05-20,108,50, ,11,3,10
2020-05-21,107,45, ,18,2,11
2020-05-22,70,21, ,12,2,9
2020-05-23,44,30, ,15,1,6
2020-05-24,56,60, ,19,4,7
2020-05-25,91,26, ,9,2,7
2020-05-26,44,31, ,12,2,9
2020-05-27,67,55, ,18,3,11
2020-05-28,92,65, ,15,5,14
2020-05-29,137,53, ,11,3,10
2020-05-30,109,30, ,8,2,7
2020-05-31,44,57, ,15,3,5
2020-04-01,76,45, ,15,1,5
2020-04-02,81,48, ,15,1,5
2020-04-03,96,117, ,11,2,6
2020-04-04,83,71, ,23,3,5
2020-04-05,102,100, ,22,4,7
2020-04-06,165,70, ,21,4,7
2020-04-07,109,52, ,18,5,7
2020-04-08,86,43, ,12,2,4
2020-04-09,85,62, ,19,1,4
2020-04-10,126,43, ,12,1,3
2020-04-11,93,69, ,19,2,4
2020-04-12,91,74, ,31,3,6
2020-04-13,114,71, ,16,6,6
2020-04-14,143,68, ,14,6,9
2020-04-15,141,75, ,8,2,8
2020-04-16,128,49, ,15,1,4
2020-04-17,88,64, ,22,2,8
2020-04-18,140,63, ,18,2,5
2020-04-19,136,31, ,4,1,1
2020-04-20,41,36, ,2, ,1
2020-04-21,42,31, ,3,1,1
2020-04-22,45,29, ,5,1,1
2020-04-23,50,73, ,15,2,2
2020-04-24,95,57, ,6,2,3
2020-04-25,79,51, ,15,3,5
2020-04-26,86,57, ,20,3,7
2020-04-27,136,71, ,14,5,5
2020-04-28,147,64, ,17,5,6
2020-04-29,132,73, ,21,6,8
2020-04-30,152,79, ,12,4,6
2020-03-01,78,38, ,19,2,7
2020-03-02,94,11, ,11, ,10
2020-03-03,133,15, ,7,2,3
2020-03-04,37,41, ,17,4,6
2020-03-05,92,67, ,20,3,8
2020-03-06,162,73, ,17,2,10
2020-03-07,170,48, ,17,1,10
2020-03-08,145,44, ,14,1,10
2020-03-09,116,28, ,15,1,5
2020-03-10,81,68, ,24,3,5
2020-03-11,111,73, ,20,3,6
2020-03-12,126,38, ,13,1,3
2020-03-13,66,40, ,8,1,3
2020-03-14,75,46, ,13,1,2
2020-03-15,57,54, ,14,6,3
2020-03-16,85,60, ,22,1,3
2020-03-17,116,132, ,11,3,3
2020-03-18,121,37, ,6,1,2
2020-03-19,36,79, ,19,3,4
2020-03-20,114,82, ,18,3,4
2020-03-21,102,54, ,18,2,4
2020-03-22,89,61, ,25,3,4
2020-03-23,119,74, ,31,8,10
2020-03-24,152,71, ,31,6,7
2020-03-25,164,39, ,7,3,5
2020-03-26,69,25, ,4, ,2
2020-03-27,35,41, ,14,1,3
2020-03-28,61,55, ,20,4,6
2020-03-29,107,58, ,13,2,5
2020-03-30,133,63, ,13,2,6
2020-03-31,147,34, ,8,1,5
2020-02-01,56,17, ,8,2,11
2020-02-02,91,14, ,11,2,7
2020-02-03,54,15, ,15,3,9
2020-02-04,85,35, ,11,2,8
2020-02-05,76,38, ,10,2,11
2020-02-06,98,75, ,13,2,13
2020-02-07,171,109, ,16,3,11
2020-02-08,145,90, ,18,3,16
2020-02-09,181,115, ,29,4,20
2020-02-10,222,128, ,33,3,23
2020-02-11,215,111, ,36,3,22
2020-02-12,228,109, ,26,4,21
2020-02-13,196,67, ,7,3,11
2020-02-14,109,6, ,3,2,5
2020-02-15,35,7, ,3,1,6
2020-02-16,24,12, ,9,2,4
2020-02-17,35,36, ,20,3,4
2020-02-18,83,68, ,21,2,18
2020-02-19,156,65, ,13,1,18
2020-02-20,159,82, ,13,1,8
2020-02-21,158,18, ,10,1,2
2020-02-22,37,56, ,22,5,6
2020-02-23,112,85, ,21,4,12
2020-02-24,166,51, ,19,7,10
2020-02-25,118,39, ,23,5,7
2020-02-26,86,26, ,19,3,4
2020-02-27,70,39, ,17,4,8
2020-02-28,131,52, ,16,1,9
2020-02-29,141,34, ,13,3,6
2020-01-01,168,87, ,34,3,10
