"","미세먼지.....","초미세먼지.....","오존.ppm.","이산화질소농도.ppm.","일산화탄소농도.ppm.","아황산가스농도.ppm.","평균기온..C.","최저기온..C.","최고기온..C.","일강수량.mm.","최대.순간.풍속.m.s.","평균.풍속.m.s.","최대.순간.풍속.풍향.deg.","beijing_pm25","beijing_pm10","beijing_o3","beijing_no2","beijing_so2","beijing_.co","dalian_pm25","dalian_pm10","dalian_o3","dalian_no2","dalian_so2","dalian_co","qingdao_pm25","qingdao_pm10","qingdao_o3","qingdao_no2","qingdao_so2","qingdao_co","shanghai_pm25","shanghai_pm10","shanghai_o3","shanghai_no2","shanghai_so2","shanghai_co","shenyang_pm25","shenyang_pm10","shenyang_o3","shenyang_no2","shenyang_so2","shenyang_co","tianjin_pm25","tianjin_pm10","tianjin_o3","tianjin_no2","tianjin_so2","tianjin_co","교통량"
"17803",70,32,0.083,0.026,0.4,0.009,22,18.3,27.2,0,7.6,1.8,278.4,89,61,85.18,20,1,7,87,50,63,9,6,9,129,55,75,6,3,3,65,37,69,8,4,4,125,45,74,16,5,5,94,56,80,17,4,9,1272.84375
"16120",59,38,0.02,0.04,0.6,0.004,8.3,6,12.3,0,6.3,1.6,16.9,172,42,39,23,2,6,105,78,35,21,12,12,30,71,47,1,3,5.4,88,34,32,18,3,5,166,52,35,21,11,11,171,75,37.81,31,6,12,1685.32993341167
"18262",74,40,0.01,0.043,0.7,0.005,-3,-5.8,0.9,0,6.71462878787879,1.3,253.623883333333,89,23,21,19,1,3,67,42,19,17,15,8,111,4,1,1,8.48,6.47,75,55,21,27,5,9,192,58,8,28,26,11,138,43,23.39,31,11,12,1643.149709
"28493",166,0.007,146,0.003,0.061,1.4,2.1,-1.4,4.9,0,4,0.6,292.5,207,62,24,6,1,3,164,66,23,9,5,5,328,109,27,26,6,8.7,164,78,37,26,5,12,223,72,19,12,11,7,230,49,34.89,11,2,2,1938.3622369281
"27141",39,0.004,18,0.023,0.036,0.5,5.9,0.1,9.7,0,5.6,1.8,191.3,34,48,32,6,1.24,1,60,52,31,16,7,5,119,62,39,22,4,4.61,75,55,44,28,4,7,98,44,25,24,8,6,84,36,36.74,15,2,4,1248.94871794872
"24628",20,0.003,16,0.031,0.021,0.5,25.6,19.9,31.5,0,6.4,1.7,239.1,114,76,128,13,8,7,81,44,55,3,4,4,58,34,45,2,1,3.6,107,26,35,9,1,3,107,40,58,9,8,3,113,67,92.56,13,8,10,1607.5625
"355",6,4,0.027,0.017,0.3,0.002,17.3,15.7,19.5,33,8.8,3.5,59.1,161,18,25,7,1,3,79,51,31,13,4,6,80,74,142,19,5,7.1,72,38,49,12,3,4,125,54,22,24,8,11,149,53,51.87,16,2,6,1825.741873
"27946",77,0.005,28,0.011,0.04,0.6,2,-4,9.1,0,6.4,1,261.6,179,80,36,10,8,12,172,96,29,13,10,11,141,125,29,16,4,6.71,76,58,36,15,3,6,169,66,27,7,9,6,169,57,32.72,7,7,9,1861.08333333333
"15538",57,41,0.005,0.055,1.1,0.006,1.2,-4.6,9.4,0,3.2,0.7,33.8,244,105.94,20,13,4,5,148,67,29,20,18,14,116,59,25,8,9,5,67,66,4,24,6,15,261,141,8,43,59,16,233,105,15,26,11,23,1691.250309
"23558",23,0.003,16,0.032,0.008,0.4,30.5,25.5,37,0,5.9,0.8,81.6,132,32,88,11,1,5,92,43,45,5,2,5,45,23,24,6,2,3.82,71,42,34,9,2,4,128,53,43,13,10,9,121,42,73.62,18,3,9,1057.29166666667
"4569",25,15,0.013,0.021,0.2,0.007,27,24.7,29.7,27,9.6,2.2,213.8,98,46,118,16,1,5,90,44,89,6,2,9,61,50,67,9,3,5,78,42,70,16,4,5,70,44,67,9,5,6,115,57,93,15,3,6,1328.375
"10103",39,21,0.017,0.027,0.5,0.004,1.5,-1.9,4.2,2.5,6.2,0.7,165.9,141,29,31,13,3,4,111,22,35,13,11,6,119,78,37,13,14,8,134,66,37,17,6,8,126,33,31,19,22,4,168,36,29,18,7,8,1113.583333
"19410",99,84,0.009,0.054,0.9,0.005,3.5,0.7,8,0,5.53868888888889,1.2,247.953825454545,107,70,5,42,6,10,130,95,21,27,15,18,1,1,20.82,22.1,9.83,8.56,176,68,27,28,3,7,178,91,10,31,34,17,135,76,19.6,32,12,12,1612.741786
"2187",17,9,0.019,0.022,0.3,0.003,20,18.1,23.4,0,7.5,1.9,11.3,53,64,59,22,1,7,32,36,49,10,5,6,42,32,42,14,2,5,64,30,38,9,3,4,42,37,27,19,7,6,81.1,56.44,65.36,20.79,5.67,10.26,1981.208333
"12147",44,18,0.013,0.044,0.4,0.003,21.8,18.7,27.1,0,3.6,1.2,137.8,81,62,53,22,2,7,113,34,63,10,4,7,85,27,45,19,2,6.15,98,37,24,28,2,6,132,65,61,28,12,12,170,69,63.41,21,4,14,2199.493246
"27423",78,0.004,57,0.023,0.04,0.8,3.7,-0.275,10.075,0,6.4,1.325,284.875,151,68,28,28,5,9,117,55,18,33,22,11,169,49,33,25,5,6.17,191,50,39,22,2,4,97,75,35,27,17,10,145,54,31.49,30,7,14,968.90374907715
"13376",48,32,0.008,0.053,1,0.007,-3.7,-7.5,1,0,6.2,1.8,309.4,37,20,25,8,2,2,93,34,30,8,11,7,126,46,29,10,10,5.07,177,31,29,12,5,5,82,41,19,17,19,7,34,28,26.18,24,8,9,1030.974207
"1903",15,7,0.017,0.02,0.3,0.003,17,13.7,20.6,0,4.3,1.1,81.6,131,15,26,13,7,5,78,52,77,11,5,8,60,75,97,34,10,7.71,59,25,41,8,3,3,77,32,19,21,9,8,144,32,44.44,15,2,7,1930.032389
"17329",66,52,0.007,0.036,0.7,0.006,1.6,-3.1,5.8,0,7.4,1.7,163.1,183,45,17,25,4,8,156,70,23,26,19,11,1,1,19.07,19.22,11.1,8.82,93,41,20,36,7,7,155,42,13,23,28,8,198,57,21.27,32,11,13,1378.798056
"24243",12,0.004,5,0.025,0.011,0.2,22.9,19.6,28.5,15,5.8,1.3,95.6,153,37,78,10,1,4,43,19,47,4,3,4,60,45,56,8,2,4.26,65,42,47,21,2,6,115,34,41,11,5,6,111,40,65.04,15,2,5,1991.69166666667
"4288",24,14,0.018,0.023,0.4,0.004,-0.8,-4.9,2.9,0,6.8,1.8,357.2,172,92,10,43,6,16,72,41,23,20,18,9,100,87,22,27,15,11,90,20,30,16,4,5,96,56,2,23,50,16,146.26,101.31,15.15,34.4,17.84,19.53,1105.32622
"3893",23,11,0.018,0.026,0.4,0.004,15.3,9.6,21.1,0,6.2,1.4,50.6,117,50,24,22,2,8,48,39,29,15,6,10,60,69,38,27,7,8,42,11,37,7,3,5,123,51,23,28,5,10,128.08,66.16,44.42,24.07,5.25,11.13,2816.833333
"27187",56,0.005,36,0.032,0.025,0.4,6.8,2.7,13,0,8.8,2.4,225,66,75,39,27,5,7,78,66,50,17,8,7,98,65,51,31,8,6.64,140,40,38,17,2,4,137,84,36,31,24,16,112,65,35.61,22,5,4,746.770833333333
"24176",13,0.003,7,0.026,0.012,0.5,23.9,19.3,29.8,0,5.9,1,275.6,78,73,113,18,2,9,75,31,61,6,3,6,108,95,107,18,3,5.85,97,16,38,9,2,4,137,40,51,17,7,8,126,65,95.42,22,4,12,1446.6875
"18018",72,37,0.017,0.047,0.8,0.005,9.9,6.6,14.6,0,4.6,1,320.6,156,26,40,14,1,5,129,65,45,20,14,11,70,52,33,7,1,4,128,67,37,26,8,8,171,96,43,37,49,12,134,48,31,22,8,12,1955.103363
"25848",29,0.003,9,0.041,0.011,0.3,13.35,8.3,19.625,0,9.55,2.4,212.7,79,50,52,16,1,2,103,63,87,14,8,7,67,81,73,28,6,6.28,120,47,48,13,2,3,91,44,38,15,8,7,70,52,53.57,16,4,3,807.750086805556
"1528",14,7,0.057,0.02,0.3,0.003,23.8,17.1,29.8,0,7.3,1.6,202.5,146,50,38,14,1,4,70,31,57,13,6,10,44,15,56,5,2.57,5,58,39,44,12,2,4,102,64,46,19,16,7,122,48,39,18,3,8,1749.16903631255
"24208",7,0.003,2,0.026,0.004,0.3,21.3,18.9,25.5,2,6.7,1.6,2.8,87,45,113,13,1,4,52,23,71,6,3,5,86,83,91,15,4,6.51,136,34,32,16,3,5,98,38,43,12,6,7,94,53,85.34,15,4,7,1069.70833333333
"6505",30,19,0.024,0.027,0.4,0.005,0.7,-3.2,4.1,0,7.8,2,326.3,78,18,32,14,3,3,84,44,31,22,18,10,113,109,37,31,17,12,132,63,48,39,8,8,138,44,26,29,37,6,134,32,29,23,9,6,2228.391115
"12183",45,28,0.01,0.042,0.8,0.005,-2.8,-7.9,2.1,0,3.6,0.9,289.7,174,106,7,42,14,22,100,68,27,24,24,15,135,90,25,24,16,8,77,46,18,31,7,7,194,119,6,41,82,18,158,82,5,30,21,23,1606.603879
"15483",56,35,0.01,0.038,0.5,0.005,1.3,-3.1,5.1,0,3.6,0.9,317.8,103,44,26,13,3,5,73,73,23,15,12,11,1,1,24.8,14.7,6.27,7.39,117,39,29,30,3,8,110,35,18,13,13,5,91,54,29.16,23,13,18,1580.190476
