일자,요일,city,교통량
20170101,일,강남구,1663.4766617777777
20170101,일,강동구,1621.125
20170101,일,강서구,964.40625
20170101,일,관악구,1067.6041664999998
20170101,일,광진구,989.25
20170101,일,구로구,608.2589667200002
20170101,일,금천구,1071.0992442499999
20170101,일,노원구,1484.1024912
20170101,일,도봉구,872.0416666499999
20170101,일,동대문구,2713.75
20170101,일,동작구,3166.5416665000002
20170101,일,마포구,2877.7708332499997
20170101,일,서대문구,1122.41096165
20170101,일,서초구,1955.6848099799995
20170101,일,성동구,1253.874208
20170101,일,성북구,1487.40833332
20170101,일,송파구,1247.7974748599997
20170101,일,양천구,1810.402546425
20170101,일,영등포구,1409.6768870249998
20170101,일,용산구,1590.1785713714287
20170101,일,은평구,1041.7668330333333
20170101,일,종로구,814.05788041
20170101,일,중구,701.0276036783333
20170101,일,중랑구,1379.9452687
20170102,월,강남구,2014.952558111111
20170102,월,강동구,1744.2638886666666
20170102,월,강서구,1176.2812501
20170102,월,관악구,1194.50000015
20170102,월,광진구,1387.16666685
20170102,월,구로구,701.1383647
20170102,월,금천구,1289.829276075
20170102,월,노원구,1588.4725006
20170102,월,도봉구,1045.6041665
20170102,월,동대문구,2730.583333
20170102,월,동작구,3417.4375
20170102,월,마포구,3223.25
20170102,월,서대문구,1299.3582320750002
20170102,월,서초구,2270.6477425700004
20170102,월,성동구,1659.3726190000002
20170102,월,성북구,1659.6623114399997
20170102,월,송파구,1454.5819446
20170102,월,양천구,2037.392058175
20170102,월,영등포구,1750.8671129999998
20170102,월,용산구,1751.2976190571428
20170102,월,은평구,1143.9823298666668
20170102,월,종로구,963.3901052400003
20170102,월,중구,932.3737231033333
20170102,월,중랑구,1508.0132859999999
20170103,화,강남구,2165.728693333333
20170103,화,강동구,1788.0972222333332
20170103,화,강서구,1245.25
20170103,화,관악구,1268.31249985
20170103,화,광진구,1584.41666665
20170103,화,구로구,723.17416852
20170103,화,금천구,1331.69652525
20170103,화,노원구,1639.97569004
20170103,화,도봉구,1088.958333
20170103,화,동대문구,2819.791667
20170103,화,동작구,3598.625
20170103,화,마포구,3434.3229167500003
20170103,화,서대문구,1361.41580775
20170103,화,서초구,2345.02064893
20170103,화,성동구,1786.210119
20170103,화,성북구,1715.4038761
20170103,화,송파구,1545.2883903999998
20170103,화,양천구,2121.7257074999998
20170103,화,영등포구,1850.696716375
20170103,화,용산구,1859.7678571428569
20170103,화,은평구,1171.5066428666667
