지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
강남,2017-01-01,3.5,-0.4,7,0,3.3,1.3,73.1
서초,2017-01-01,3.6,-1.8,8.6,0,3.5,1,104.1
강동,2017-01-01,2.3,-1.9,6.4,0,3.2,0.9,14.1
송파,2017-01-01,4.2,-0.1,7.8,0,2.9,1,137.8
강서,2017-01-01,4.8,1.1,7.8,0,3.9,1.7,115.3
양천,2017-01-01,4.5,-0.4,8.3,0,3.6,0.6,171.6
도봉,2017-01-01,2.6,-2,6.8,0,2.6,0.4,227.8
노원,2017-01-01,0.9,-6,6.8,0,3.3,0.8,73.1
동대문,2017-01-01,3.8,-0.7,7.9,0,2.9,0.8,59.1
중랑,2017-01-01,3.5,-0.6,7.1,0,5.2,0.9,120.9
마포,2017-01-01,4.5,0.8,7.7,0,4.6,2,118.1
서대문,2017-01-01,3.9,0.3,7.5,0,4.4,1.6,73.1
광진,2017-01-01,3.2,-1.3,7.2,0,2.9,0.7,81.6
성북,2017-01-01,3.1,-0.5,6.8,0,3.5,0.6,202.5
용산,2017-01-01,4,-0.5,7.8,0,3.3,1.1,33.8
은평,2017-01-01,1.7,-4,7.6,0,3.8,0.3,180
금천,2017-01-01,4.6,0.6,8,0,3.6,0.7,165.9
중구,2017-01-01,3.4,-0.4,6.7,0,4.1,1.1,98.1
성동,2017-01-01,4.6,0.5,7.9,0,3.3,0.7,154.7
종로,2017-01-01,2.5,-0.3,5.5,0,4.3,1.3,137.8
구로,2017-01-01,3.8,-1.3,8,0,5.2,0.8,236.3
강북,2017-01-01,3.8,-0.3,7.5,0,3.5,0.7,188.4
관악,2017-01-01,3.5,-0.6,7.4,0,5,1.9,213.8
영등포,2017-01-01,4.9,0.8,8.7,0,2.9,0.4,191.3
동작,2017-01-01,2.1,-3.4,8,0,2.9,0.5,2.8
강남,2017-01-02,6.2,3.7,9.4,0,5.8,1.6,196.9
서초,2017-01-02,6.6,3.9,10.1,0,5.1,1.5,343.1
강동,2017-01-02,5.2,2.6,9.6,0,4.2,0.9,250.3
송파,2017-01-02,6.5,4,10.2,0,5.9,1.7,292.5
강서,2017-01-02,6,2.2,8.8,0,5,1.7,284.1
양천,2017-01-02,6.4,3.2,9.8,0,4.4,1.1,317.8
도봉,2017-01-02,5.6,2.1,9.4,0,6.4,1,253.1
노원,2017-01-02,4.7,0,9,0,5.1,1,315
동대문,2017-01-02,6.1,4,9.1,0.5,6.6,1.3,281.3
중랑,2017-01-02,6,3.9,8.9,0.5,7,1.7,213.8
마포,2017-01-02,5.9,2.1,9.4,0,8.7,2.6,281.3
서대문,2017-01-02,5.7,2,9.8,0,5,1.5,230.6
광진,2017-01-02,6,3.7,9.5,0,6.2,1.5,295.3
성북,2017-01-02,5.3,2.6,8.6,0,7.3,1.1,230.6
용산,2017-01-02,6.2,3.3,10.3,0,5.4,1.2,222.2
은평,2017-01-02,5.2,-0.9,8.9,0,5.3,0.8,163.1
금천,2017-01-02,6.4,3.6,9,0,5.5,1.6,261.6
중구,2017-01-02,4.7,1.5,8.2,0,6.7,2,338.7
성동,2017-01-02,6.7,4.3,10,0.5,7.5,1.8,250.3
종로,2017-01-02,4,0.6,6.8,0,8.5,1.7,329.1
구로,2017-01-02,5.6,2.2,9.7,0,7.3,1.8,213.8
강북,2017-01-02,6.1,3.6,9.1,0,10.1,1.8,278.4
관악,2017-01-02,5.4,2.4,8,0,6.5,2.5,213.8
영등포,2017-01-02,6.4,3.2,10.1,0,4.5,1,289.7
동작,2017-01-02,5.8,2.7,9.7,0,5.6,1.1,255.9
강남,2017-01-03,4,1.1,7.2,0,5.6,1.7,227.8
서초,2017-01-03,3.3,-0.8,8.3,0,4.8,1.3,298.1
강동,2017-01-03,2.7,-1.8,7.2,0,7.3,0.9,208.1
송파,2017-01-03,4.2,0.6,8.5,0,4.8,1.3,284.1
강서,2017-01-03,3.5,-0.3,7,0,4.9,1,241.9
양천,2017-01-03,3.6,-0.3,8.1,0,4.5,0.7,278.4
도봉,2017-01-03,1.8,-2.6,7.4,0,4.6,0.8,281.3
노원,2017-01-03,0.1,-5.8,7.6,0,5.2,1,295.3
동대문,2017-01-03,3.8,-0.1,7.8,0,6.4,1.3,272.8
중랑,2017-01-03,3.4,-0.2,7.5,0,6.7,1.4,250.3
