지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
강남,2019-01-01,-3.7,-6.9,-0.9,0,8.4,1.8,255.9
강남,2019-01-02,-3.5,-7.1,0.1,0,5.8,1.5,250.3
강남,2019-01-03,-1.9,-6.7,2.4,0,4.1,1.1,244.7
강남,2019-01-04,-0.5,-5.3,3.7,0,5.2,1.3,227.8
강남,2019-01-05,-1.5,-3.4,1.6,0,6.1,2,281.3
강남,2019-01-06,-1.6,-4.9,2.1,0,5.2,1.3,281.3
강남,2019-01-07,-0.7,-4.9,3.2,0,5.7,1.4,275.6
강남,2019-01-08,-2.3,-5.4,1.1,0,8.6,2,289.7
강남,2019-01-09,-3.6,-7.6,0.4,0,4.8,1.3,92.8
강남,2019-01-10,0,-2.9,3.1,0,5,1.3,272.8
강남,2019-01-11,3,0,5.7,0,3.7,1.1,67.5
강남,2019-01-12,3.9,1.8,7.7,0,5.5,1.3,278.4
강남,2019-01-13,2.7,-1.4,7.1,0,4.8,1.3,281.3
강남,2019-01-14,2.1,-1.4,4.9,0,4,0.6,292.5
강남,2019-01-15,-0.7,-5.9,3.4,0,8.9,2.3,275.6
강남,2019-01-16,-4.5,-8.2,-1.7,0,7,1.8,278.4
강남,2019-01-17,0.7,-2.6,4.5,0,7.3,1.7,289.7
강남,2019-01-18,1.6,-2.9,6,0,5,1.2,258.8
강남,2019-01-19,4.1,0.6,8.7,0,3.7,1.1,216.6
강남,2019-01-20,-0.5,-3.9,4.9,0,8.5,2.8,272.8
강남,2019-01-21,0.3,-4.5,4.5,0,8.4,1.6,236.3
강남,2019-01-22,2.7,-2,6.7,0,6.7,1.5,227.8
강남,2019-01-23,3.1,0.1,7.2,0,8.4,1.7,284.1
강남,2019-01-24,1.5,-2.3,5.7,0,6.7,1.6,270
강남,2019-01-25,0,-2,2.4,0,8.5,2.2,289.7
강남,2019-01-26,-1.7,-4.9,1.5,0,6.1,1.9,281.3
강남,2019-01-27,0.5,-4.9,4.3,0,7.6,1.7,272.8
강남,2019-01-28,2,-0.7,4.4,0,9.1,2.2,278.4
강남,2019-01-29,1.1,-4.1,6.2,0,5.4,1.1,281.3
강남,2019-01-30,2.9,-0.8,6.5,0,6.1,1.5,298.1
강남,2019-01-31,-1.1,-4.7,3.2,0,6.7,2.5,281.3
강남,2019-02-01,-0.9,-5.2,3,0,8.2,1.8,284.1
강남,2019-02-02,2.5,-1.2,6.4,0,5,1.1,137.8
강남,2019-02-03,3.4,2.1,5,21,6.9,1.4,289.7
강남,2019-02-04,0.6,-1.4,3,0,7.7,2,284.1
강남,2019-02-05,3.6,-2.2,9.6,0,5.3,1.2,188.4
강남,2019-02-06,5.5,0.5,9.7,0,4.9,1.3,236.3
강남,2019-02-07,-1.3,-7.2,6.7,0,9,2.8,270
강남,2019-02-08,-5.1,-8.8,-1.6,0,5.7,1.7,278.4
강남,2019-02-09,-4.6,-7.2,-1.7,0,7.8,2.3,289.7
강남,2019-02-10,-4,-7.1,-1.5,0,5.2,1.6,244.7
강남,2019-02-11,-2,-5.3,2,0,6.9,2,303.8
강남,2019-02-12,0.3,-2.2,3.9,0,5.9,1.1,258.8
강남,2019-02-13,-0.9,-2.9,2.2,0,7.4,1.6,284.1
강남,2019-02-14,0.5,-3.7,5.5,0,4.7,1.4,275.6
강남,2019-02-15,-0.1,-2.3,1.6,0.5,8.4,1.7,261.6
강남,2019-02-16,-1.7,-3.9,1.2,0,7.6,1.9,219.4
강남,2019-02-17,-0.2,-4.1,4.4,0,6.3,1.7,270
강남,2019-02-18,1.7,-2.9,5.5,0,3.8,0.9,75.9
강남,2019-02-19,1.8,0,3.9,4.5,5.2,1.4,272.8
강남,2019-02-20,2.8,1.3,4.8,0,6.1,1.8,309.4
강남,2019-02-21,3.4,-0.7,8.1,0,4.6,1.4,298.1
강남,2019-02-22,4.9,-0.3,10.2,0,5.7,1.3,75.9
강남,2019-02-23,7.5,1.7,13.5,0,5.1,1.2,50.6
강남,2019-02-24,6.8,2.2,12.7,0,6.7,1.6,317.8
강남,2019-02-25,5.7,2.8,10,0,6.1,1.8,270
강남,2019-02-26,6.5,1.4,11.2,0,5.3,1.5,295.3
강남,2019-02-27,8.8,5.8,14.4,0,7,1.4,239.1
강남,2019-02-28,8.1,3.7,12.4,0,6.2,1.6,292.5
강남,2019-03-01,7.8,3.2,12.9,0,5.7,1.6,275.6
강남,2019-03-02,8.4,2.7,13.9,0,4.8,1.1,61.9
강남,2019-03-03,10.1,4,15.7,0,5.8,0.9,289.7
강남,2019-03-04,10.7,7.5,15.7,0,5.8,1.3,239.1
강남,2019-03-05,8.8,6,13.4,0,6.2,1.3,267.2
강남,2019-03-06,9.2,7.3,11.7,0,5.7,1.1,292.5
강남,2019-03-07,8.1,5.3,12.5,0,7.9,1.7,292.5
강남,2019-03-08,7.2,2.3,12.7,0,6.1,1.3,272.8
강남,2019-03-09,8.1,1.4,13.9,0,4.8,0.9,292.5
강남,2019-03-10,10.7,7.1,15.1,0,4.4,1.1,16.9
강남,2019-03-11,7.5,5.1,10.3,0,6.1,1.6,289.7
강남,2019-03-12,4.8,1.7,8.3,0,9.5,2.5,239.1
강남,2019-03-13,4.4,1.8,8.1,0,11.8,2.9,289.7
강남,2019-03-14,5.9,0.8,9.8,0,6.7,1.6,210.9
강남,2019-03-15,5.4,1.8,10.3,7,8.2,1.5,267.2
강남,2019-03-16,5.2,2.1,9.1,0,7.4,1.3,272.8
강남,2019-03-17,7.3,4.4,11.6,0,8.1,1.7,222.2
강남,2019-03-18,7.9,2.9,13.9,0,5.8,1.2,230.6
강남,2019-03-19,10.8,4.7,16.7,0,5.5,1.3,244.7
강남,2019-03-20,10.7,8.1,15.7,19.5,6.1,0.9,205.3
강남,2019-03-21,7.9,3.2,12.2,4,9.6,2.4,253.1
강남,2019-03-22,4.1,0.6,8.3,0,9.1,2.1,284.1
강남,2019-03-23,4.5,1.8,8.3,3,11.7,2,281.3
강남,2019-03-24,5.3,1.9,9.3,0,8.8,1.8,281.3
강남,2019-03-25,8.1,3.8,12.2,0,7.7,1.6,306.6
강남,2019-03-26,12,7.7,17,0,6.5,1.7,286.9
강남,2019-03-27,12.5,9.8,17.1,0,10.5,2.9,239.1
강남,2019-03-28,10.2,7,14.4,0,6.4,2,278.4
강남,2019-03-29,9.7,6.5,14.6,0,6.2,2,286.9
강남,2019-03-30,5.8,3.6,8.9,3,13.3,2.6,222.2
